Year,Portfolio,ISIN,Name,Weight,CI,Contribution
2018,P(vw)_oos(0.5),US92922P1066,W&T OFFSHORE,0.0003097906589366262,576.3771412616815,0.17855625438746517
2018,P(vw)_oos(0.5),US4581401001,INTEL,0.0072811648481786945,23.230987396631665,0.16914864882083677
2018,P(vw)_oos(0.5),US1912161007,COCA COLA,0.003194080478823931,50.532140134940576,0.161403722358209
2018,P(vw)_oos(0.5),US6558441084,NORFOLK SOUTHERN,0.000313665917003999,475.819899535589,0.1492484851165812
2018,P(vw)_oos(0.5),US58933Y1055,MERCK & COMPANY,0.007710526898404287,19.171526843128458,0.1478225734074218
2018,P(vw)_oos(0.5),US6267171022,MURPHY OIL,0.0001351615171234244,1041.231188892635,0.1407343871669554
2018,P(vw)_oos(0.5),CH0048265513,TRANSOCEAN,0.00028462895372272383,468.1331987891019,0.13324426257421396
2018,P(vw),US26441C2044,DUKE ENERGY,0.002337842607090446,4064.795889666879,9.502853019989345
2018,P(vw),US65339F1012,NEXTERA ENERGY,0.0031569472817843023,2514.6301893554746,7.938554940978511
2018,P(vw),US8425871071,SOUTHERN,0.001717196891339396,4438.898658330077,7.622462977055023
2018,P(vw),US0255371017,AMER.ELEC.PWR.,0.0014008974985722132,4885.687816452619,6.844347840873212
2018,P(vw),US30034W1062,EVERGY,0.0005683489929200313,11568.616995001561,6.575011818586696
2018,P(vw),US25746U1097,DOMINION ENERGY,0.0017826634612370296,2867.023438741459,5.11093792675454
2018,P(vw),US30231G1022,EXXON MOBIL,0.010970873632044409,446.95187255968494,4.90345251345792
2018,P(vw),US98389B1008,XCEL ENERGY,0.0009620722054275375,4451.803142004564,4.2829560669575715
2018,P(vw),CH0012214059,HOLCIM,0.0009475115386054962,4351.6195640112355,4.123209748522064
2018,P(vw),US1667641005,CHEVRON,0.007899290002779086,504.5296374064209,3.9854259208702976
2019,P(mv)_oos,US26441C2044,DUKE ENERGY,0.036134446591659465,3460.8870303005588,125.05723755616248
2019,P(mv)_oos,US8425871071,SOUTHERN,0.029563093131230837,3754.5675675675675,110.99663066749882
2019,P(mv)_oos,US4198701009,HAWAIIAN ELECTRIC INDS.,0.04239300609243057,1415.7237938807675,60.016787419186294
2019,P(mv)_oos,US3379321074,FIRSTENERGY,0.022905058515316996,1607.5009324216321,36.819902920544116
2019,P(mv)_oos,CA0084741085,AGNICO-EAGLE MNS. (NYS),0.03492971308779706,206.0702897447234,7.197976096702398
