screen_year,investment_year,ISIN,weight
2021,2022,FR0000120560,0.006354084410456729
2021,2022,FR0000130395,0.005097172523651501
2021,2022,FR0013280286,0.001874728840286542
2021,2022,GB0006776081,0.007762284661576762
2021,2022,GB0008794710,0.02237663339247348
2021,2022,GB0009067447,0.006109550993797572
2021,2022,GB0009692319,0.0003499455990507213
2021,2022,GB00B3CX3644,0.029651816732202397
2021,2022,GB00B3DGH821,0.0009396303065134578
2021,2022,GB00B45C9X44,0.00022807359967969647
2021,2022,GB00BJQZC279,0.02892580970242613
2021,2022,GB00BYRJ5J14,0.027836578011691634
2021,2022,IE00BJ3V9050,0.002187584282511871
2021,2022,IE00BWT6H894,0.015204630399840163
2021,2022,NL0000009082,0.007963140133516669
2021,2022,NL0009432491,0.0182120785341258
2021,2022,US00971T1016,0.02219562793388926
2021,2022,US0584981064,0.036056245699107335
2021,2022,US09062X1037,0.020832413484627443
2021,2022,US12541W2098,0.005059209797356388
2021,2022,US12572Q1058,0.07014600675659749
2021,2022,US1258961002,0.027792158630085575
2021,2022,US1270971039,0.04129325256285938
2021,2022,US1890541097,0.0920467387829463
2021,2022,US2091151041,0.030950752394400708
2021,2022,US3029411093,0.02431968119614344
2021,2022,US3379321074,0.06940152497100331
2021,2022,US4404521001,0.022363970462717476
2021,2022,US5324571083,0.03277391524694356
2021,2022,US6200763075,0.009765143212306064
2021,2022,US6516391066,0.02030147978037769
2021,2022,US65339F1012,0.010774353755038416
2021,2022,US67066G1040,0.008495878030906252
2021,2022,US74762E1029,0.0006253930050350459
2021,2022,US75886F1075,0.0022438275200685944
2021,2022,US7611521078,0.009659361193154399
2021,2022,US8326964058,0.014060002778909017
2021,2022,US8760301072,0.005098803795158554
2021,2022,US92532F1003,0.00033976678653470426
2021,2022,US9311421039,0.012808702713364241
2022,2023,BE0003735496,0.019015118500030914
2022,2023,CA2918434077,0.030036658643241655
2022,2023,CA59162N1096,0.05076478068244513
2022,2023,CA8029121057,0.028884139849754072
2022,2023,CH0008742519,0.01930020114622714
2022,2023,CH0014786500,0.019163845884380942
2022,2023,DE0007042301,0.06800129922840499
2022,2023,DE000CLS1001,0.02780508994653985
